token_num,term_str,n,num,stop,p_stem
11024,costar,3,0,0,costar
11025,costcenter,2,0,0,costcent
11026,costco,5,0,0,costco
11027,costcompetitive,3,0,0,costcompetit
11028,costconscious,2,0,0,costconsci
11029,costconsciousness,1,0,0,costconsci
11030,costcontainment,1,0,0,costcontain
11031,costcontrol,1,0,0,costcontrol
11032,costeffective,97,0,0,costeffect
11033,costeffectively,12,0,0,costeffect
11034,costeffectiveness,1,0,0,costeffect
11035,costefficient,9,0,0,costeffici
11036,costing,13,0,0,cost
11037,costly,32,0,0,costli
11038,costofcare,1,0,0,costofcar
11039,costofliving,1,0,0,costofliv
11040,costoptimized,1,0,0,costoptim
11041,costpoint,1,0,0,costpoint
11042,costprohibitive,3,0,0,costprohibit
