Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
General Assembly,https://www.crunchbase.com/organization/general-assembly,https://generalassemb.ly/,"Education, Product Design, UX Design, Web Design, Web Development","Design, Education, Software","General Assembly is a pioneer in education and career transformation, specializing in today’s most in-demand skills.","General Assembly provides education and career transformation, specializing in today’s most in-demand skills. The leading source for training, staffing, and career transitions, we foster a flourishing community of professionals pursuing careers they love. It was founded in 2011 and headquartered in New York, United States.",https://www.linkedin.com/school/general-assemb-ly/,Pledge 1%,https://twitter.com/ga,https://www.facebook.com/generalassembly,680
Springboard,https://www.crunchbase.com/organization/sliderule,https://www.springboard.com/,"E-Learning, EdTech, Education","Education, Software",Springboard is an e-learning platform that prepares people for modern careers through cutting edge curriculum and mentor guidance.,"Springboard is an online learning platform that prepares students for the tech industry’s most sought after careers. With expert mentorship from top professionals, a bleeding-edge curriculum, and a network of support from day one, they make sure students have everything they need to excel in their program and in their next job. The platform one-size-fits-one approach is made for working professionals who are ready to level-up or make a major career shift. And our tuition back guarantee means students can take charge and invest in themselves. Springboard data science career track comes with a job guarantee, ensuring students secure a job within six months of graduation or get a full refund. The platform's self-paced courses offer students the opportunity to develop job-ready skills that they display in an industry-worthy capstone or portfolio projects.",https://www.linkedin.com/company/springboard,,http://twitter.com/springboard,http://www.facebook.com/MySlideRule,684
ExecOnline,https://www.crunchbase.com/organization/execonline,https://www.execonline.com/,"E-Learning, EdTech, Education","Education, Software",ExecOnline is a provider of school-certified online executive education programs and executive training solutions.,"ExecOnline is a provider of school-certified online executive education programs used to transform how companies deliver professional development to their executives. The company partners with elite business schools to enable executives at the world’s largest companies to master and apply critical insights and practical solutions.  ExecOnline breaks the compromise between cost and quality through a dynamic and interactive online learning environment that scales across the enterprise and fosters collaborative skill-building.   ExecOnline provides school partners with everything they need to successfully develop online executive education programs including a customizable learning management system, online instructional design, and full sales and marketing capabilities.",https://www.linkedin.com/company/execonline/,,https://twitter.com/execonlineinc,https://www.facebook.com/pages/ExecOnline/1831158956906409,714
Udacity,https://www.crunchbase.com/organization/udacity,https://www.udacity.com,"Artificial Intelligence, E-Learning, EdTech, Education, Internet, Machine Learning, Robotics, Software, Training","Artificial Intelligence, Data and Analytics, Education, Hardware, Internet Services, Science and Engineering, Software","Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector, as well as data science, autonomous systems, and cloud computing. It offers nanodegree programs such as front-end and senior web developer, full-stack web developer, data analyst, machine learning engineer, iOS and Android developer, programming introduction, tech entrepreneur, iOS app development beginning, Ruby beginning, and 2D mobile game developer courses. Udacity's online courses teach the skills that industry employers need and deliver credentials endorsed by employers. The company aims to democratize education making it affordable and accessible to get the jobs they desire to improve their lives.  David Stavens, Mike Sokolsky, and Sebastian Thrun founded it in 2011, with its headquarters in Mountain View in California.",https://www.linkedin.com/school/udacity,Unicorn,https://twitter.com/udacity,https://www.facebook.com/Udacity,919
Red Ventures,https://www.crunchbase.com/organization/red-ventures,http://www.redventures.com,"Content, Digital Media, Higher Education, Home Services, Media and Entertainment, Personal Health, Travel","Education, Health Care, Media and Entertainment, Real Estate, Travel and Tourism","A portfolio of influential brands, digital platforms, and strategic partnerships that help people make life's most important decisions.","Over the last twenty years, Red Ventures has built a portfolio of influential brands, digital platforms, and strategic partnerships that work together to connect millions of people with expert advice. Through premium content and personalized digital experiences, Red Ventures builds online journeys that make it easier for people to make important decisions about their homes, health, travel, finances, education and entertainment. Founded in 2000, Red Ventures has 3,000 employees in 10 cities across the US, as well as in the UK and Brazil. Red Ventures owns and operates several large digital brands including Healthline, The Points Guy, Bankrate, MYMOVE, and Allconnect.com.",https://www.linkedin.com/company/red-ventures,Unicorn,http://twitter.com/RedVentures,http://www.facebook.com/redventures,947
Skillshare,https://www.crunchbase.com/organization/skillshare,http://skillshare.com,"E-Learning, EdTech, Education, Peer to Peer","Education, Other, Software",Skillshare is an ed-tech platform offering online learning for creative fields.,"Skillshare is an online learning community with thousands of inspiring classes for creative and curious people, on topics including illustration, design, photography, video, freelancing, and more. The company's community offers classes on any type of skill, from baking cupcakes to raising startup capital to varying fields in design, business, and technology, enabling members to harness their creative power and learn skills in an enhanced way.  The company was founded in 2010 and is headquartered in New York.",https://www.linkedin.com/company/skillshare-com,,http://twitter.com/skillshare,http://www.facebook.com/skillshare,979
Chegg,https://www.crunchbase.com/organization/chegg,http://www.chegg.com,"Education, Higher Education, Textbook",Education,Chegg is a student media learning platform offering services to universities and community colleges.,"Chegg is a student media learning platform offering services to universities and community colleges. The company also helps students become smarter, saves time & money.  The company was founded in 2005 and is headquartered in Santa Clara, California, USA.",https://www.linkedin.com/company/137338,,http://twitter.com/chegg,http://www.facebook.com/chegg,"1,135"
Bitwise Industries,https://www.crunchbase.com/organization/bitwise-industries,http://bitwiseindustries.com/,"Coworking, Education, Real Estate, Software","Education, Real Estate, Software","Bitwise is a tech ecosystem, activating human potential to elevate underdog cities around the country.","Bitwise Industries was founded in 2013 to move Fresno’s technology ecosystem forward by focusing on the key areas of education, execution, and place. Education is delivered via Geekwise Academy, an accelerated training program providing real-world technology skills to all ages. Bitwise Industries provides execution by way of its full-service, custom software development firm, Shift3 Technologies. And, the ever-growing place component is made up of Bitwise’s collaborative workplace, Hashtag, the technology hub, Bitwise South Stadium, and two new projects currently under construction in downtown Fresno, Bitwise|41 and Bitwise State Center Warehouse.",https://www.linkedin.com/company/bitwise-industries/,,https://twitter.com/BitwiseFresno,https://www.facebook.com/BitwiseFresno/,"1,162"
Degreed,https://www.crunchbase.com/organization/degreed,http://degreed.com,"Corporate Training, EdTech, Education, Internet, Skill Assessment, Software","Education, Internet Services, Software","Degreed is a learning platform where individuals and organizations can discover content, build skills, and certify expertise.","Degreed provides companies with a platform that enables employees to develop their skills and create skill profiles. Using that data, the platform can promote career mobility by connecting users to project, gigs, and job opportunities. It integrates and curates all the resources people use to learn including learning management systems and millions of courses, videos, articles, books, and podcasts. The company was launched in 2012 and is headquartered in Pleasanton, California.",http://www.linkedin.com/company/degreed,,http://twitter.com/degreed,https://www.facebook.com/degreedofficial,"1,163"
comma.ai,https://www.crunchbase.com/organization/comma,http://comma.ai/,"Automotive, Education, Electronics, Open Source, Robotics","Consumer Electronics, Education, Hardware, Science and Engineering, Software, Transportation",comma is solving self driving cars while delivering shippable intermediaries: openpilot and the comma two.,Comma is a self-driving car kit founded by George Hotz to show that making driverless vehicles could done relatively cheaply using off-the-shelf components and existing vehicles. It has open-sourced a dataset of 7.25 hours of highway driving.,https://www.linkedin.com/company/comma.ai?trk=jobs_jserp_job_listing_company_name,,https://twitter.com/comma_ai,https://www.facebook.com/Commaai-287920788233943/,"1,389"
